year,first_author,title,journal,pub_types,pmid,doi,match_basis,in_pubmed_PT_set,source_file
2023,Koller J,Entomopathogens and Parasitoids Allied in Biocontrol: A Systematic Review.,"Pathogens (Basel, Switzerland)",Review,37513804,10.3390/pathogens12070957,pubmed_PT,yes,01_2026-08-07_europepmc.ris; 01_2026-08-07_pubmed.txt; 04_2026-08-07_europepmc.ris; 04_2026-08-07_pubmed.txt; 05_2026-08-07_europepmc.ris; 05_2026-08-07_pubmed.txt
2023,Liu D,Interactions between Entomopathogenic Fungi and Insects and Prospects with Glycans.,"Journal of fungi (Basel, Switzerland)",Review,37233286,10.3390/jof9050575,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2023,Schmaltz S,Biomolecules in modern and sustainable agriculture.,3 Biotech,Review,36742447,10.1007/s13205-023-03486-2,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2023,Zhao Y,The role of insect intestinal microbes in controlling of Empoasca onukii Matsuda (Hemiptera: Cicadellidae) pest infestations in the production of tea garden: a review.,Archives of microbiology,Review,37351731,10.1007/s00203-023-03609-6,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2021,Alonso-Díaz MA,Entomopathogenic Fungi for Tick Control in Cattle Livestock From Mexico.,Frontiers in fungal biology,Review,37744087,10.3389/ffunb.2021.657694,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2021,Liu C,Integration and Potential Application Ability of Culturable Functional Microorganism in Oil Tea Camellia.,Indian journal of microbiology,Review,33505087,10.1007/s12088-020-00904-4,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt
2021,Mann AJ,Entomopathogenic fungi to control bark beetles: a review of ecological recommendations.,Pest management science,Review,33728813,10.1002/ps.6364,pubmed_PT,yes,01_2026-08-07_europepmc.ris; 01_2026-08-07_pubmed.txt
2021,Wang H,The Toxins of Beauveria bassiana and the Strategies to Improve Their Virulence to Insects.,Frontiers in microbiology,Review,34512581,10.3389/fmicb.2021.705343,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2020,Amobonye A,Biotechnological potential of Beauveria bassiana as a source of novel biocatalysts and metabolites.,Critical reviews in biotechnology,Review,32772728,10.1080/07388551.2020.1805403,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2020,Cabrera Walsh G,Biology and Management of Pest Diabrotica Species in South America.,Insects,Review,32650377,10.3390/insects11070421,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt
2020,Ong'wen F,Direct and indirect effects of predation and parasitism on the Anopheles gambiae mosquito.,Parasites & vectors,Review,32000840,10.1186/s13071-020-3915-8,pubmed_PT,yes,04_2026-08-07_pubmed.txt
2020,Roberson RW,Subcellular structure and behaviour in fungal hyphae.,Journal of microscopy,Review,32700404,10.1111/jmi.12945,pubmed_PT,yes,04_2026-08-07_pubmed.txt
2019,Hatting JL,Microbial control of phytophagous invertebrate pests in South Africa: Current status and future prospects.,Journal of invertebrate pathology,Review,29427636,10.1016/j.jip.2018.02.004,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2019,Karimi J,"Microbial insecticides in Iran: History, current status, challenges and perspective.",Journal of invertebrate pathology,Review,29476767,10.1016/j.jip.2018.02.016,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2019,Kumar KK,Microbial biopesticides for insect pest management in India: Current status and future prospects.,Journal of invertebrate pathology,Review,30347206,10.1016/j.jip.2018.10.008,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2019,Mascarin GM,Current status and perspectives of fungal entomopathogens used for microbial control of arthropod pests in Brazil.,Journal of invertebrate pathology,Review,29339191,10.1016/j.jip.2018.01.001,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2019,Srinivasan R,Biopesticide based sustainable pest management for safer production of vegetable legumes and brassicas in Asia and Africa.,Pest management science,Review,31074055,10.1002/ps.5480,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2018,Arena M,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana strain PPRI 5339.,EFSA journal. European Food Safety Authority,Review,32625869,10.2903/j.efsa.2018.5230,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2018,Bamisile BS,Fungal Endophytes: Beyond Herbivore Management.,Frontiers in microbiology,Review,29628919,10.3389/fmicb.2018.00544,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2018,Bamisile BS,Prospects of endophytic fungal entomopathogens as biocontrol and plant growth promoting agents: An insight on how artificial inoculation methods affect endophytic colonization of host plants.,Microbiological research,Review,30384907,10.1016/j.micres.2018.08.016,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2018,Boucias DG,Microbiota in insect fungal pathology.,Applied microbiology and biotechnology,Review,29802479,10.1007/s00253-018-9089-z,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2018,Infante F,Pest Management Strategies Against the Coffee Berry Borer (Coleoptera: Curculionidae: Scolytinae).,Journal of agricultural and food chemistry,Review,29528640,10.1021/acs.jafc.7b04875,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt
2018,Mallebrera B,In vitro mechanisms of Beauvericin toxicity: A review.,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,Review,29154952,10.1016/j.fct.2017.11.019,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2018,Mannino MC,Tracing the coevolution between Triatoma infestans and its fungal pathogen Beauveria bassiana.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",Review,29496575,10.1016/j.meegid.2018.02.032,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2018,Zhang LB,Antioxidant enzymes and their contributions to biological control potential of fungal insect pathogens.,Applied microbiology and biotechnology,Review,29704043,10.1007/s00253-018-9033-2,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 02c_2026-08-07_pubmed.txt
2017,Arena M,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana IMI389521.,EFSA journal. European Food Safety Authority,Review,32625636,10.2903/j.efsa.2017.4831,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2017,Deshayes C,Microbial Pest Control Agents: Are they a Specific And Safe Tool for Insect Pest Management?,Current medicinal chemistry,Review,28292241,10.2174/0929867324666170314144311,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2016,Aristizábal LF,Integrated Pest Management of Coffee Berry Borer: Strategies from Latin America that Could Be Useful for Coffee Farmers in Hawaii.,Insects,Review,26848690,10.3390/insects7010006,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2016,Mascarin GM,The production and uses of Beauveria bassiana as a microbial insecticide.,World journal of microbiology & biotechnology,Review,27628337,10.1007/s11274-016-2131-3,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 02b_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2016,Moonjely S,Insect Pathogenic Fungi as Endophytes.,Advances in genetics,Review,27131324,10.1016/bs.adgen.2015.12.004,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2016,Valero-Jiménez CA,Genes involved in virulence of the entomopathogenic fungus Beauveria bassiana.,Journal of invertebrate pathology,Review,26628209,10.1016/j.jip.2015.11.011,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2016,Wang JB,Advances in Genomics of Entomopathogenic Fungi.,Advances in genetics,Review,27131323,10.1016/bs.adgen.2016.01.002,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt
2016,Zhang W,Genome Studies on Nematophagous and Entomogenous Fungi in China.,"Journal of fungi (Basel, Switzerland)",Review,29376926,10.3390/jof2010009,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2015,Lopez-Perez M,Production of conidia of Beauveria bassiana in solid-state culture: current status and future perspectives.,Critical reviews in biotechnology,Review,24494702,10.3109/07388551.2013.857293,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2015,Ortiz-Urquiza A,Improving mycoinsecticides for insect biological control.,Applied microbiology and biotechnology,Review,25503318,10.1007/s00253-014-6270-x,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2013,Cuthbertson AG,Update on the Status of Bemisia tabaci in the UK and the Use of Entomopathogenic Fungi within Eradication Programmes.,Insects,Review,26464385,10.3390/insects4020198,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2012,Daniel C,Integrated Management of European Cherry Fruit Fly Rhagoletis cerasi (L.): Situation in Switzerland and Europe.,Insects,Review,26466721,10.3390/insects3040956,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2011,Kafle L,"Efficacy of Beauveria bassiana against the red imported fire ant, Solenopsis invicta (Hymenoptera: Formicidae), in Taiwan.",Pest management science,Review,21538803,10.1002/ps.2192,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2011,Madsen AM,Occupational exposure to microorganisms used as biocontrol agents in plant production.,Frontiers in bioscience (Scholar edition),Review,21196399,10.2741/s174,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2010,Schrank A,Metarhizium anisopliae enzymes and toxins.,Toxicon : official journal of the International Society on Toxinology,Review,20298710,10.1016/j.toxicon.2010.03.008,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 02b_2026-08-07_pubmed.txt
2010,St Leger RJ,Genetic engineering of fungal biocontrol agents to achieve greater efficacy against insect pests.,Applied microbiology and biotechnology,Review,19862514,10.1007/s00253-009-2306-z,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2007,Madsen AM,Human exposure to airborne fungi from genera used as biocontrol agents in plant production.,Annals of agricultural and environmental medicine : AAEM,Review,17655172,,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2007,Pedrini N,Biochemistry of insect epicuticle degradation by entomopathogenic fungi.,Comparative biochemistry and physiology. Toxicology & pharmacology : CBP,Review,17052960,10.1016/j.cbpc.2006.08.003,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 02b_2026-08-07_pubmed.txt
2004,Samish M,Biological control of ticks.,Parasitology,Review,15938520,10.1017/s0031182004005219,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2000,Bittencourt VR,Trials to control South American ticks with entomopathogenic fungi.,Annals of the New York Academy of Sciences,Review,11193672,10.1111/j.1749-6632.2000.tb05335.x,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2000,Culliney TW,"Prospects for the biological control of subterranean termites (Isoptera: rhinotermitidae), with special reference to Coptotermes formosanus.",Bulletin of entomological research,Review,10948359,,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
