record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,host_pest,delivery_mode,nonfoliar_delivery,mortality,lt_lc,colony_nest_effects,dose,extract_status
5752,rayyan-628426354,A Field Efficacy Evaluation of In2Care Mosquito Traps in Comparison with Routine Integrated Vector Management at Reducing Aedes aegypti.,2021,Buckner EA;Williams KF;Ramirez S;Darrisaw C;Carrillo JM;Latham MD;Lesser CR,10.2987/21-7038,https://doi.org/10.2987/21-7038,Buckner2021,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Aedes aegypti; Zika viruses,autodissemination|trap,1,,,,,no_endpoint_in_abstract
3552,rayyan-628422474,Autodissemination of Beauveria bassiana by sap beetles (Coleoptera: Nitidulidae) to overwintering sites,2003,"Dowd, PF;Vega, FE",10.1080/0958315021000054395,https://doi.org/10.1080/0958315021000054395,Dowd2003,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Carpophilus lugubris,autodissemination|trap,1,,,,,no_endpoint_in_abstract
5454,rayyan-628425450,Autoinoculation trap for management of Hypothenemus hampei (Ferrari) with Beauveria bassiana (Bals.) in coffee crops,2017,"Mota, Luiz Henrique Costa;Silva, Weliton D;Sermarini, Renata Alcarde;Demetrio, Clarice Garcia Borges;Bento, Jose Mauricio S;Delalibera, Italo",10.1016/j.biocontrol.2017.05.007,https://doi.org/10.1016/j.biocontrol.2017.05.007,Mota2017,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Hypothenemus hampei,autodissemination|trap,1,88.5% confirmed mortality,,,,endpoint_in_abstract
1430,rayyan-628420167,"Combining insect pathogenic fungi and a pheromone trap for sustainable management of the fall armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae)",2020,"Akutse, Komivi S;Khamis, Fathiya M;Ambele, Felicitas C;Kimemia, Jane W;Ekesi, Sunday;Subramanian, Sevgan",10.1016/j.jip.2020.107477,https://doi.org/10.1016/j.jip.2020.107477,Akutse2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Spodoptera frugiperda,trap|contaminated_forager,1,,,horizontal transmission of the inoculum among S,,endpoint_in_abstract
3984,rayyan-628422925,Development and evaluation of a novel contamination device that targets multiple life-stages of Aedes aegypti,2014,"Snetselaar, Janneke;Andriessen, Rob;Suer, Remco A;Osinga, Anne J;Knols, Bart Gj;Farenhorst, Marit",10.1186/1756-3305-7-200,https://doi.org/10.1186/1756-3305-7-200,Snetselaar2014,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Aedes aegypti; Dengue demands,autodissemination|trap,1,,,,,no_endpoint_in_abstract
357,rayyan-628415666,Development and field evaluation of a lure-and-infect strategy integrating attractants with Beauveria bassiana for controlling Bactrocera dorsalis,2026,"Xie, Jingpeng;Zhang, Lin;Lu, Xianli;Fu, Ying;Guan, Yingxue;Liu, Huan;Wen, Jian;Cao, Fengqin",10.21203/rs.3.rs-8322768/v1,https://doi.org/10.21203/rs.3.rs-8322768/v1,Xie2026,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Bactrocera dorsalis,contaminated_forager,1,,,horizontal transmission of conidia to non-exposed individuals,,endpoint_in_abstract
2387,rayyan-628421213,"Development of an attract-and-infect device for biological control of lesser mealworm, Alphitobius diaperinus (Coleoptera: Tenebrionidae) in poultry houses",2020,"Hassemer, Marla J;Lopes, Rogerio B;Borges, Miguel;Alves, Luis F A;Withall, David M;Pickett, JA;Laumann, Raul A;Birkett, Michael Alexander;Blassioli-Moraes, Maria C",10.1016/j.biocontrol.2020.104326,https://doi.org/10.1016/j.biocontrol.2020.104326,Hassemer2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Alphitobius diaperinus,bait_station|contaminated_forager,1,,,Horizontal transmission of the Unioeste 04 strain through contaminated living A,,endpoint_in_abstract
5397,rayyan-628425286,Dissemination of microbial agents using an autoinoculating device and several insect species as vectors,1995,"Vega, FE;Dowd, PF;Bartelt, RJ",10.1006/bcon.1995.1064,https://doi.org/10.1006/bcon.1995.1064,Vega1995,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Quantitative studies,autodissemination|trap,1,,,,,no_endpoint_in_abstract
563,rayyan-628416045,Efficacy of Beauveria bassiana strain GHA spray applications against coffee berry borer Hypothenemus hampei on Hawai'i Island [Erratum: 2022 ; p.105038],2021,"Wraight, SP;Galaini-Wraight, S;Howes, RL;Castrillo, LA;Griggs, MH;Carruthers, RI;Smith, RH;Matsumoto, TK;Keith, LM",10.1016/j.biocontrol.2021.104587,https://doi.org/10.1016/j.biocontrol.2021.104587,Wraight2021,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy|01-existing-products,abstract,0,Hypothenemus hampei,trap|foliar_spray,1,20-25% mortality | resulted in 20-25% mortality,,,,endpoint_in_abstract
5692,rayyan-628426219,"Evaluating the Vector Control Potential of the In2Care(R) Mosquito Trap Against Aedes aegypti and Aedes albopictus Under Semifield Conditions in Manatee County, Florida.",2017,Buckner EA;Williams KF;Marsicano AL;Latham MD;Lesser CR,10.2987/17-6642R.1,https://doi.org/10.2987/17-6642R.1,Buckner2017,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Aedes aegypti; Aedes albopictus,autodissemination|trap,1,,,,,no_endpoint_in_abstract
5070,rayyan-628424415,"Laboratory and field evaluation of an autoinoculation device as a tool to manage poultry red mite, Dermanyssus gallinae, infestations with Beauveria bassiana.",2020,Nascimento MM;Alves LFA;de Oliveira DGP;Lopes RB;Guimaraes ATB,10.1007/s10493-020-00466-6,https://doi.org/10.1007/s10493-020-00466-6,Nascimento2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Dermanyssus gallinae,autodissemination|trap,1,mortalities by the fungus were higher than 70%,,,,endpoint_in_abstract
6146,rayyan-628433046,Microbial Control of the Emerald Ash Borer (Coleoptera: Buprestidae) Using Beauveria bassiana (Hypocreales: Cordycipitaceae) by the Means of an Autodissemination Device,2020,"Srei, Narin;Guertin, Claude;Lavallee, Robert;Lajoie, Marie-Eve;Brousseau, Christian;Bergevin, Rejean;Miller, Fredric;McMillin, Kendra;Trudel, Richard",10.1093/jee/toaa226,https://doi.org/10.1093/jee/toaa226,Srei2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Emerald ash,autodissemination|trap|contaminated_forager,1,,,,,no_endpoint_in_abstract
379,rayyan-628415693,Optimization and efficacy of an autoinoculation device for managing Liriomyza sativae with Beauveria bassiana,2025,"Zhang, Qikai;Wang, Dengjie;Liang, Xinghui;Wang, Haihong;Lyu, Baoqian",,http://europepmc.org/abstract/AGR/IND609241699,Zhang2025,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,Liriomyza sativae,autodissemination,1,,,,,no_endpoint_in_abstract
1175,rayyan-628419892,Simultaneous use of SIT plus disseminator devices of Beauveria bassiana enhances horizontal transmission in Anastrepha ludens,2020,"Montoya, Pablo;Flores, Salvador;Campos, Sergio;Liedo, Pablo;Toledo, Jorge",10.1111/jen.12766,https://doi.org/10.1111/jen.12766,Montoya2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,Anastrepha ludens,autodissemination|trap|contaminated_forager|SIT_vector,1,,,horizontal transmission in Anastrepha ludens | que (SIT) could be enhanced by augmenting i,,endpoint_in_abstract
