record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,instruments,geography,trap_bait_delivery_coverage,extract_status
412,rayyan-628415753,Conclusion on the peer review of the pesticide risk assessment of the active substances Beauveria bassiana strains ATCC-74040 and GHA,2013,"Authority, European Food Safety",10.2903/j.efsa.2013.3031,https://doi.org/10.2903/j.efsa.2013.3031,Authority2013,05-regulatory-policy,05-regulatory-policy|01-existing-products,full-text,0,EFSA|EU_1107_2009|active_substance|dossier_RMS,EU,not_stated_in_abstract,full_text_extracted
2554,rayyan-628421391,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana IMI389521,2017,"=European Food Safety Authority (EFSA);Arena, Maria;Auteri, Domenica;Barmaz, Stefania;Bellisai, Giulia;Brancato, Alba;Brocca, Daniela;Bura, Laszlo;Byers, Harry;Chiusolo, Arianna;Court Marques, Daniele;Crivellente, Federica;De Lentdecker, Chloe;De Maglie, Marcella;Egsmose, Mark;Erdos, Zoltan;Fait, Gabriella;Ferreira, Lucien;Goumenou, Marina;Greco, Luna;Ippolito, Alessio;Istace, Frederique;Jarrah, Samira;Kardassi, Dimitra;Leuschner, Renata",10.2903/j.efsa.2017.4831,https://doi.org/10.2903/j.efsa.2017.4831,European2017,05-regulatory-policy,05-regulatory-policy|01-existing-products,full-text,0,EFSA|EU_1107_2009|active_substance|dossier_RMS,EU,not_stated_in_abstract,full_text_extracted
5493,rayyan-628425671,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana strain 203.,2020,Anastassiadou M;Arena M;Auteri D;Brancato A;Bura L;Carrasco Cabrera L;Chaideftou E;Chiusolo A;Crivellente F;De Lentdecker C;Egsmose M;Fait G;Greco L;Ippolito A;Istace F;Jarrah S;Kardassi D;Leuschner R;Lostia A;Lythgo C;Magrans O;Mangas I;Miron I;Molnar T;Padovani L;Parra Morte JM;Pedersen R;Reich H;Santos M;Sharp R;Szentes C;Terron A;Tiramani M;Vagenende B;Villamar-Bouza L,10.2903/j.efsa.2020.6295,https://doi.org/10.2903/j.efsa.2020.6295,Anastassiadou2020,05-regulatory-policy,05-regulatory-policy|01-existing-products,full-text,0,EFSA|EU_1107_2009|active_substance|dossier_RMS,EU,not_stated_in_abstract,full_text_extracted
6206,rayyan-628435603,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana strain PPRI 5339.,2018,Arena M;Auteri D;Barmaz S;Brancato A;Brocca D;Bura L;Carrasco Cabrera L;Chiusolo A;Court Marques D;Crivellente F;De Lentdecker C;Egsmose M;Fait G;Ferreira L;Goumenou M;Greco L;Ippolito A;Istace F;Jarrah S;Kardassi D;Leuschner R;Lythgo C;Magrans JO;Medina P;Miron I;Molnar T;Nougadere A;Padovani L;Parra Morte JM;Pedersen R;Reich H;Sacchi A;Santos M;Serafimova R;Sharp R;Stanek A;Streissl F;Sturma J;Szentes C;Tarazona J;Terron A;Theobald A;Vagenende B;Villamar-Bouza L,10.2903/j.efsa.2018.5230,https://doi.org/10.2903/j.efsa.2018.5230,Arena2018,05-regulatory-policy,05-regulatory-policy|01-existing-products,full-text,0,EFSA|EU_1107_2009|active_substance|dossier_RMS,EU,not_stated_in_abstract,full_text_extracted
