record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,strains_named,products_named,formulation_named,host_pest,mortality,lt_lc,dose,pdf_filename,evidence,extract_status
490,rayyan-628415920,Effects of Biorational Pesticides on Four Coccinellid Species (Coleoptera: Coccinellidae) having Potential as Biological Control Agents in Interiorscapes,2000,"Smith, S. F.;Krischik, V. A.",10.1603/0022-0493-93.3.732,https://doi.org/10.1603/0022-0493-93.3.732,Smith2000,01-existing-products,01-existing-products,not_in_pdf,not_in_pdf,not_in_pdf,not_in_pdf,mortality up to 100%,not_in_pdf,not_in_pdf,Smith_2000.pdf,full-text,full_text_extracted
2309,rayyan-628421126,"Efficacy of biorational insecticides against chilli thrips, Scirtothrips dorsalis (Thysanoptera: Thripidae), infesting roses under nursery conditions",2017,"Aristizabal, LF;Chen, Y;Cherry, RH;Cave, RD;Arthurs, SP",10.1111/jen.12340,https://doi.org/10.1111/jen.12340,Aristizabal2017,01-existing-products,01-existing-products,not_in_pdf,not_in_pdf,not_in_pdf,not_in_pdf,not_in_pdf,not_in_pdf,not_in_pdf,Aristizabal_2017.pdf,full-text,full_text_extracted
268,rayyan-628415507,Laboratory evaluation of Beauveria bassiana strain ATCC74040 as a potential biocontrol agent of Aculops lycopersici,2025,"Sybilska, Anna;Madry, Nina;Wojcik-Gront, Elzbieta;Puchalska, Ewa",10.1038/s41598-025-24062-z,https://doi.org/10.1038/s41598-025-24062-z,Sybilska2025,01-existing-products,01-existing-products,not_in_pdf,not_in_pdf,not_in_pdf,not_in_pdf,mortality up to 90%,not_in_pdf,not_in_pdf,Sybilska_2025.pdf,full-text,full_text_extracted
